airline_sentiment,text,geographic_location,ethnicity,age,device
negative,@united never flying with you guys ever again. The customer service is piss poor at best.,"Riverside, CA",Hispanic,64,mobile
positive,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,"Stockton, CA",Caucasian,39,mobile
negative,@USAirways @AmericanAir  is there anyone answering phones today??? Listening to same damn messages for 1:10 minutes,"Sacramento, CA",African American,41,laptop
neutral,@SouthwestAir Thank you!,"Portland, OR",Caucasian,42,mobile
negative,@AmericanAir you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse,"El Paso, TX",African American,58,mobile
negative,"@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!","Newark, NJ",African American,40,tablet
negative,@AmericanAir Deplaned for the 3rd fucking time. Fuck you AA.,"Omaha, NE",Hispanic,51,laptop
positive,@united Joni did a great job on flight 5653 to LAX. Thanks for a great flight.,"San Diego, CA",Caucasian,49,mobile
negative,@AmericanAir I'm willing to hold for an agent. you aren't being helpful you keep hanging up on me #americanairsucks #hiremorepoeple,"Las Vegas, NV",Caucasian,34,laptop
negative,@united delayed another hour,"Kansas City, MO",Hispanic,56,mobile
negative,"@USAirways ""admirals club"" at CLT has rude, and ignorant front desk staff...@AmericanAir you have fallen so far...THANKS DOUG PARKER!!!","Greensboro, NC",African American,54,tablet
positive,@JetBlue it was booked through work but added upgrade on seat. Need the upgrade receipt.,"Denver, CO",Hispanic,49,mobile
negative,@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated,"San Francisco, CA",African American,60,laptop
negative,@AmericanAir my flight has been delayed &amp; I can't talk reach anyone in customer service because of high call volume.,"Greensboro, NC",African American,64,tablet
negative,"@united if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? How much to keep my earned miles?","Oakland, CA",Caucasian,43,mobile
negative,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence.","Mesa, AZ",Caucasian,36,mobile
neutral,@JetBlue actually flight 1089 not 1098,"Mesa, AZ",Caucasian,36,tablet
negative,"@united, any options to cos tonight? Doesn't look like #UA5525 will make it in time for #UA6259. Should I reserve a hotel room?","Akron, OH",Caucasian,19,tablet
positive,@SouthwestAir thanks so much just had to make a Cancelled Flightlation! I've sent u the info.,"Toledo, OH",Caucasian,43,mobile
negative,"@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit","Columbus, OH",African American,55,laptop
negative,@united UA1740 just admit you have no clue when flight will leave Denver. #unfriendlyskies,"Atlanta, GA",Native American,52,mobile
positive,@JetBlue Thank you for the JetBlue Credit. Nice save :-),"Omaha, NE",Caucasian,42,mobile
negative,@AmericanAir You lost a customer today. Flight today was Cancelled Flightled and I had to find out by calling customer service yesterday.,"Riverside, CA",Native American,27,tablet
negative,@AmericanAir still waiting for a flight... I should get my money back,"Winston-Salem, NC",Caucasian,58,mobile
neutral,@united I have already emailed but I didn't know if it was more expedient to contact you here. Please advise. Thanks.,"Chandler, AZ",African American,36,laptop
negative,@SouthwestAir #flight #Cancelled Flightled...tried to get refund but on hold. Can I get it after my flight would have departed?,"Lexington, KY",Asian,26,tablet
positive,@SouthwestAir thank you for your help resolving my problem Shannon ROCKS - even though Rhonda didn't !!,"Houston, TX",Caucasian,15,mobile
negative,@united still haven't received a response. Please direct message me for my contact information.,"Denver, CO",Hispanic,63,tablet
negative,"@USAirways me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed","Sacramento, CA",African American,64,laptop
negative,@united when an airline causes the missed connection u would think they would take whatever steps to remedy that screw up.,"Orlando, FL",Caucasian,27,tablet
negative,@united poor old United: never seem to get the response right :),"Newark, NJ",Native American,60,mobile
negative,@USAirways @AmericanAir  nvm my bad it's been an hour and a half #thanks,"Dallas, TX",Hispanic,24,tablet
positive,@USAirways 1899. Thanks,"Cincinnati, OH",African American,37,mobile
negative,"@USAirways, I know you're dealing with the weather, but @PHLAirport is a hot mess. Pls send reinforcements","Baltimore, MD",Asian,51,mobile
positive,@SouthwestAir me &amp; @sammi_jon3s are best friends because of @Imaginedragons. Any chance we could get tickets to #DestinationDragons ?,"Sacramento, CA",African American,39,mobile
negative,@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,"Sacramento, CA",Hispanic,58,laptop
negative,@united - you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!,"Winston-Salem, NC",African American,64,tablet
neutral,"@united yes, after this awful weather it appears I can get home","Raleigh, NC",African American,26,mobile
negative,"@JetBlue 2nd time in a row a flight out of jfk a disaster. Last time I wasn't allowed to fly stndby, now a 2 hour delay w/out notification","Omaha, NE",Hispanic,24,tablet
negative,@USAirways have been on hold for 58 minutes - need help USAIR - why won't you help?,"Fort Wayne, IN",Hispanic,23,laptop
negative,@AmericanAir is flight 2934 dfw to gsp going to be Cancelled Flightled tomorrow?,"Rochester, NY",Caucasian,30,mobile
neutral,@united flight #1051 on 2/23. Thx,"Nashville, TN",African American,64,tablet
neutral,@USAirways But good luck getting there! Not cool.,"Portland, OR",Asian,26,tablet
neutral,@USAirways How long before departure do gates stay open? Will I make my connecting flight 1861 to RDU from flight 894???,"Colorado Springs, CO",African American,47,laptop
negative,"@USAirways so mad I can't even believe  you guys Cancelled Flight my connecting flight after I leave the first stop, &amp; give me a useless hotel voucher","Nashville, TN",Caucasian,24,mobile
negative,@SouthwestAir ridiculous how you want to charge me $209 to change flights even with multiple seats available on the flight I needed,"Omaha, NE",Caucasian,26,laptop
negative,@SouthwestAir Another delay. Wow,"Lubbock, TX",African American,43,mobile
negative,@AmericanAir trying to check in for flight. On line not working &amp; agents too busy to take my call.,"Mesa, AZ",African American,21,mobile
negative,@JetBlue what's going on with 1171 LGA-FLL..poor to no communication from gate agents??,"St. Louis, MO",Caucasian,33,laptop
neutral,@southwestair #ftw! ✈️ Hope they'll sing us a song on our flight to Phoenix today. (@ Terminal 2 (Humphrey)) https://t.co/mAvIgetbBw,"Chula Vista, CA",Hispanic,34,laptop
negative,"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH","El Paso, TX",African American,42,laptop
neutral,@united I am following - you need to follow me for DM?,"Buffalo, NY",Caucasian,24,mobile
negative,@USAirways @AmericanAir Total lack of cust. service for a mom flying solo w. baby. Will not be flying w. Am. Air again!!!,"Stockton, CA",Caucasian,55,tablet
negative,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,"Baltimore, MD",African American,41,tablet
positive,"@AmericanAir 
I still think American Airlines is great...I would just like to be treated better. Loyal customers first, right?","Rochester, NY",Caucasian,25,tablet
negative,@USAirways @AmericanAir. delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed,"San Francisco, CA",Caucasian,35,mobile
negative,.@united in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.,"Baltimore, MD",African American,27,mobile
negative,"@AmericanAir So break whatever you want, take no responsibility..Too bad for customer? #media #filmcrew @chicagotribune @WSJ #nytimes @CNN","San Francisco, CA",African American,19,mobile
negative,@USAirways I called more than 25 times to redeem mile points and can't get through.  You advertise the miles but make them very hard to use!,"Boston, MA",African American,45,tablet
negative,@jetblue you just directed me to your mobile website. Where is the direct link? GET IT TOGETHER!,"Newark, NJ",African American,21,laptop
neutral,@USAirways what's going on in CLT?,"Chula Vista, CA",Caucasian,31,mobile
negative,@united couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed,"Santa Ana, CA",Hispanic,23,mobile
negative,"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed","Saint Paul, MN",Asian,22,laptop
negative,"@united, if you mean beyond opaque ""maintenance issues"", yes, that would be  basic in customer service which your EWR staff can't manage.","Atlanta, GA",Hispanic,27,mobile
neutral,@SouthwestAir Free TV watching Daytona 500! #Boss http://t.co/SbGBN7oUXy,"Saint Paul, MN",African American,26,mobile
negative,@USAirways screwed me up big. 1st flight 1hr Late Flight. Made it to 2nd flight. CSM daryl wouldn't let me on the plane because we were (1/4),"Anchorage, AK",Hispanic,41,laptop
negative,@USAirways my option is to use twitter. Most of the people working for u have no clue what they do. they tell you to go to A4 but its b16,"Washington, D.C.",Hispanic,60,tablet
positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),"Wichita, KS",Hispanic,34,laptop
neutral,"@southwestair,  kudos to your rep ""Patricia"" at gate B11 this Sunday morning at #Chicago #Midway #MDW,… http://t.co/MmCWkqp2gy","Mesa, AZ",African American,56,tablet
neutral,@JetBlue will we be able to watch the Oscars on our flight tomorrow?,"Milwaukee, WI",Hispanic,26,laptop
neutral,@JetBlue Airways Now Covered by Bank of America (JBLU) - Dakota Financial News http://t.co/WOwxhpU5qv,"Stockton, CA",Hispanic,15,tablet
negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,"Winston-Salem, NC",African American,54,tablet
neutral,@USAirways any plans to support #ApplePay on board? I have the USAirways MC and it would be nice to still use it if I forget the card.,"Philadelphia, PA",Hispanic,31,tablet
negative,"@JetBlue we're home, you guys recovered, now we can laugh about it and the extra day in barbados. Will you open Cuba soon?","Jersey City, NJ",Hispanic,47,laptop
negative,@united @FernHeinig18 your delay is due to your own making. We have now been back to the gate multiple times. Maybe take accountability,"Newark, NJ",African American,49,laptop
negative,:( RT @JetBlue: Our fleet's on fleek. http://t.co/ncguZDgDaQ,"Tampa, FL",Hispanic,49,laptop
negative,"@AmericanAir It's not about weather, it's logistics. Why should I hold for 90 minutes when you called me? Why not get more desk agents?","Los Angeles, CA",Native American,51,laptop
positive,"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!","Tampa, FL",Hispanic,18,tablet
